"","estacion","departamento","provincia","municipio","latitud","longitud","altitud","tipo","propietario","financiador"
125,"La Angostura - GPRS","Cochabamba","Esteban Arce","Arbieto",-17.5275,-66.0856,2706,"Meteorológica de 2do Orden","MMAyA (Ministerio de Medio Ambiente y Agua)","MMAyA (Ministerio de Medio Ambiente y Agua)"
126,"Sacabamba - GPRS","Cochabamba","Esteban Arce","Sacabamba",-17.8056,-65.7692,3130,"Meteorológica de 2do Orden","FAO - Municipio","FAO - Municipio"
127,"Tarata","Cochabamba","Esteban Arce","Tarata",-17.6086,-66.0228,2775,"Meteorológica de 3er Orden","SENAMHI","OMM"
128,"Alalay - GPRS","Cochabamba","Mizque","Alalay",-17.6831,-65.6831,2980,"Meteorológica de 2do Orden","FAO - Municipio","FAO - Municipio"
129,"Mizque","Cochabamba","Mizque","Mizque",-17.9183,-65.3172,2045,"Meteorológica de 3er Orden","SENAMHI","OMM"
130,"Mizque - GPRS","Cochabamba","Mizque","Mizque",-17.9573,-65.3557,2055,"Meteorológica de 2do Orden","Servicio Departamental de Cuencas","Banco Mundial"
131,"Vila Vila - GPRS","Cochabamba","Mizque","Mizque",-17.9847,-65.6272,2666,"Meteorológica de 2do Orden","Servicio Departamental de Cuencas","Banco Mundial"
132,"Chaupisuyo","Cochabamba","Punata","Punata",-17.5444,-65.8067,2749,"Meteorológica de 3er Orden","SENAMHI","FAO"
133,"Punata - GPRS","Cochabamba","Punata","Punata",-17.5336,-65.8261,2762,"Meteorológica de 2do Orden","PROFIN - Municipio","PROFIN - Municipio"
134,"San Benito SENAMHI - GPRS","Cochabamba","Punata","San Benito",-17.5264,-65.9039,2712,"Meteorológica de 1er Orden","SENAMHI","FAO"
135,"Misicuni","Cochabamba","Quillacollo","Quillacollo",-17.09,-66.3272,3793,"Meteorológica de 3er Orden","SENAMHI","OMM"
136,"Sivingani Misicuni - GPRS","Cochabamba","Quillacollo","Quillacollo",-17.1,-66.3156,3790,"Meteorológica de 2do Orden","Municipio","Municipio"
137,"Parotani","Cochabamba","Quillacollo","Sipe Sipe",-17.5661,-66.3436,2493,"Meteorológica de 3er Orden","SENAMHI","OMM"
138,"Parotani - GPRS","Cochabamba","Quillacollo","Sipe Sipe",-17.5592,66.3458,2506,"Meteorológica de 2do Orden","CTB - Municipio","CTB - Municipio"
139,"Vivero Viloma - GPRS","Cochabamba","Quillacollo","Sipe Sipe",-17.4133,-66.385,2669,"Meteorológica de 2do Orden","Servicio Departamental de Cuencas","Banco Mundial"
140,"Pairumani","Cochabamba","Quillacollo","Vinto",-17.3661,-66.3186,2600,"Meteorológica de 3er Orden","SENAMHI","OMM"
141,"Tapacari - GPRS","Cochabamba","Tapacari","Tapacari",-17.5601,-67.104,3953,"Meteorológica de 2do Orden","CTB - Municipio","CTB - Municipio"
142,"Kaspi k'ancha","Cochabamba","Tiraque","Tiraque",-17.3742,-65.7017,3926,"Meteorológica de 3er Orden","SENAMHI","FAO"
143,"Koari","Cochabamba","Tiraque","Tiraque",-17.4761,-65.5806,3704,"Meteorológica de 3er Orden","SENAMHI","FAO"
144,"Presa Pachaj Qhocha - GPRS","Cochabamba","Tiraque","Tiraque",-17.4375,-65.644,3780,"Meteorológica de 2do Orden","Servicio Departamental de Cuencas","Banco Mundial"
145,"Tiraque","Cochabamba","Tiraque","Tiraque",-17.4253,-65.7244,3304,"Meteorológica de 3er Orden","SENAMHI","OMM"
146,"Tiraque - GPRS","Cochabamba","Tiraque","Tiraque",-17.4308,-65.7271,0,"Meteorológica de 2do Orden","VRHR - MMAyA","Banco Mundial"
147,"El Trompillo - Aeropuerto","Cruz","Andrés Ibañez","Santa  Cruz de la Sierra",-17.805,-63.1781,424,"Meteorológica de 2do Orden","AASANA","AASANA"
148,"Santa Cruz - SENAMHI","Cruz","Andrés Ibáñez","Santa Cruz de la Sierra",-17.7833,-63.1667,416,"Meteorológica de 3er Orden","SENAMHI","OMM"
149,"San Matias - Aeropuerto","Cruz","Angel Sandoval","San Matías",-16.3317,-58.3992,127,"Meteorológica de 2do Orden","AASANA","AASANA"
150,"Pailon - GPRS","Cruz","Chiquitos","Pailon",-17.5919,-61.995,291,"Meteorológica de 2do Orden","Municipio","PROFIN"
151,"Robore - Aeropuerto","Cruz","Chiquitos","Roboré",-18.3297,-59.7633,266,"Meteorológica de 2do Orden","AASANA","AASANA"
152,"San Jose de Chiquitos - Aerop","Cruz","Chiquitos","San José de Chiquitos",-17.8322,-60.7442,285,"Meteorológica de 2do Orden","AASANA","AASANA"
153,"Boyuibe","Cruz","Cordillera","Boyuibe",-20.4358,-63.2772,810,"Meteorológica de 4to Orden","SENAMHI","OMM"
154,"Abapó","Cruz","Cordillera","Cabezas",-18.9197,-63.4044,440,"Meteorológica de 3er Orden","SENAMHI","OMM"
155,"Florida","Cruz","Cordillera","Cabezas",-18.5656,-63.3792,577,"Meteorológica de 4to Orden","SENAMHI","OMM"
156,"Mora","Cruz","Cordillera","Cabezas",-18.4217,-63.205,516,"Meteorológica de 3er Orden","Municipio Cabeza","Municipio Cabeza"
157,"Camiri - Aeropuerto","Cruz","Cordillera","Camiri",-20.0067,-63.5258,794,"Meteorológica de 2do Orden","AASANA","AASANA"
158,"Gutierrez","Cruz","Cordillera","Gutiérrez",-19.4208,-63.5275,925,"Meteorológica de 3er Orden","SENAMHI","OMM"
159,"Mairana - GPRS","Cruz","Florida","Mairana",-18.1068,-63.9672,1309,"Meteorológica de 2do Orden","MMAyA (Ministerio de Medio Ambiente y Agua)","MMAyA (Ministerio de Medio Ambiente y Agua)"
160,"Mataral","Cruz","Florida","Pampa Grande",-18.1167,-64.2167,1400,"Meteorológica de 4to Orden","SENAMHI","OMM"
161,"San Pedro - STC","Cruz","Florida","Pampa Grande",-16.8167,-63.4833,450,"Meteorológica de 3er Orden","SENAMHI","OMM"
162,"Santa Rosa de la Roca","Cruz","Florida","Pampa Grande",-16.8167,-63.4833,450,"Meteorológica de 3er Orden","SENAMHI","OMM"
163,"Puerto Suarez - Aeropuerto","Cruz","German Busch","Puerto Suárez",-18.9789,-57.8192,133,"Meteorológica de 2do Orden","AASANA","AASANA"
164,"Ascención de Guarayos - Aerop","Cruz","Guarayos","Ascensión de Guarayos",-15.9153,-63.1692,236,"Meteorológica de 2do Orden","AASANA","AASANA"
165,"El Puente - GPRS","Cruz","Guarayos","El Puente",-16.3239,-62.9175,285,"Meteorológica de 2do Orden","SENAMHI","FAO"
166,"Buena Vista","Cruz","Ichilo","Buena Vista",-17.4594,-63.6606,389,"Meteorológica de 4to Orden","SENAMHI","OMM"
167,"San Juan de Yapacaní","Cruz","Ichilo","Buena Vista",-17.25,-63.8333,350,"Meteorológica de 3er Orden","Cooperativa San Juan de Yapacani","Cooperativa San Juan de Yapacani"
168,"Urubicha - GPRS","Cruz","Ichilo","Yapacani",-15.5889,-63.1722,300,"Meteorológica de 2do Orden","Municipio","Municipio"
